candidate_id,rank,score,reasoning
CAND_0046525,1,1.000000,"Senior Machine Learning Engineer at Genpact AI (6.1 yrs); current role involves search work; open to work, 88% recruiter response rate."
CAND_0041669,2,0.867996,"Recommendation Systems Engineer at CRED (8.0 yrs); current role involves ranking work; open to work, 77% recruiter response rate."
CAND_0052328,3,0.749752,"6.5 yrs as Recommendation Systems Engineer at Amazon — current role involves embedding work; hands-on Vector Search and Sentence Transformers. Open to work, 79% recruiter response rate."
CAND_0039383,4,0.717520,"Applied ML Engineer at Meesho (7.1 yrs); current role involves ranking work; open to work, 61% recruiter response rate. Minor concern: notice period is 90 days (JD prefers under 30)."
CAND_0064326,5,0.700173,"Strong JD match: Search Engineer at Sarvam AI, 7.6 yrs, hands-on Weaviate and RAG. Current role involves ranking work. Open to work, 94% recruiter response rate."
CAND_0066376,6,0.650972,5.7 yrs as Applied ML Engineer at Dream11 — current role involves ranking work; hands-on Learning to Rank and Information Retrieval. Open to work. Minor concern: notice period is 90 days (JD prefers under 30).
CAND_0054394,7,0.647642,"Strong JD match: Recommendation Systems Engineer at PharmEasy, 4.1 yrs, hands-on Embeddings and Pinecone. Current role involves retrieval work. Open to work, 64% recruiter response rate. Minor concern: 4.1 yrs experience is below the 5-9 band."
CAND_0081846,8,0.597514,"Lead AI Engineer at Razorpay with 6.7 yrs; hands-on Vector Search and Qdrant; current role involves retrieval work. Open to work, 73% recruiter response rate. Minor concern: based in Jaipur, outside preferred Pune/Noida."
CAND_0005649,9,0.597164,"7.4 yrs as Senior Data Scientist at Sarvam AI — current role involves retrieval work; hands-on Weaviate and Information Retrieval. Open to work, strong GitHub activity (81/100). Minor concern: notice period is 90 days (JD prefers under 30)."
CAND_0042506,10,0.595502,"Strong JD match: Search Engineer at Verloop.io, 4.2 yrs, hands-on Qdrant and Milvus. Current role involves embedding work. Open to work, 15-day notice. Minor concern: 4.2 yrs experience is below the 5-9 band."
CAND_0006418,11,0.593752,"Machine Learning Engineer at Verloop.io with 5.7 yrs; hands-on Weaviate and Qdrant; current role involves ranking work. Open to work, 92% recruiter response rate."
CAND_0083879,12,0.590618,"Machine Learning Engineer at Ola with 7.1 yrs; hands-on Sentence Transformers and Hugging Face Transformers; built ranking systems at PhonePe. Open to work, 30-day notice."
CAND_0075574,13,0.588988,5.7 yrs as Machine Learning Engineer at Haptik — current role involves ranking work; hands-on Weaviate and Qdrant. Open to work.
CAND_0030348,14,0.585624,"Machine Learning Engineer at BYJU'S (4.5 yrs); current role involves retrieval work; open to work, based in Noida. Minor concern: 4.5 yrs experience is below the 5-9 band."
